"","site","col_date","sp_code","density","species_description","group"
"1","FM",2017-06-01,"2100",0.666666666666667,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"2","FM",2017-10-01,"2100",2,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"3","FM",2018-01-01,"2100",0.6,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"4","FM",2018-02-01,"2100",2,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"5","FM",2018-03-01,"2100",2.54545454545455,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"6","FM",2018-04-01,"2100",1.5,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"7","FM",2018-05-01,"2100",0,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"8","FM",2018-07-01,"2100",3,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"9","FM",2018-08-01,"2100",3,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"10","FM",2018-09-01,"2100",6,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"11","FM",2018-10-01,"2100",0,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"12","FM",2018-11-01,"2100",38.6666666666667,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"13","FM",2018-12-01,"2100",29,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"14","FM",2019-01-01,"2100",0,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"15","FM",2019-02-01,"2100",0,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"16","FM",2019-03-01,"2100",83,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"17","FM",2019-04-01,"2100",0,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"18","FM",2019-05-01,"2100",0,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"19","FM",2019-06-01,"2100",0,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"20","FM",2019-07-01,"2100",0,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"21","FM",2019-08-01,"2100",2.66666666666667,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"22","FM",2019-09-01,"2100",0,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"23","FM",2019-10-01,"2100",19.5,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"24","FM",2019-11-01,"2100",5,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"25","GR",2018-01-01,"2100",1.84615384615385,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"26","GR",2018-02-01,"2100",1,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"27","GR",2018-03-01,"2100",1,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
"28","GR",2018-04-01,"2100",1.14285714285714,"Unknown Flagellates (not ciliates, see 3000)","Flagellates"
